Time Period,Store,Price
2,702,6.0
2,711,6.0
2,716,6.0
2,720,6.0
2,724,6.0
2,726,6.0
2,729,6.0
2,730,6.0
2,732,6.0
2,742,6.0
2,744,6.0
2,745,6.0
3,702,6.0
3,711,6.0
3,716,6.0
3,720,6.0
3,724,6.0
3,726,6.000000000000002
3,729,6.0
3,730,6.0
3,732,6.0
3,742,6.0
3,744,6.0
3,745,6.0
4,702,6.0
4,711,6.0
4,716,6.0
4,720,6.0
4,724,6.0
4,726,6.0
4,729,6.0
4,730,6.0
4,732,6.0
4,742,6.0
4,744,6.0
4,745,6.0
