PERIOD,PRD_NBR,DC_NBR,warehouse_receipts
1,123789001,14,78
4,123789001,14,3840
1,123789011,17,254
4,123789011,14,3584
4,123789011,17,4671
1,123789011,18,297
4,123789011,18,4961
1,123789011,14,28
4,123789021,17,5297
4,123789021,14,3658
1,123789021,14,10
4,123789021,18,5708
1,123789021,18,16
1,123789021,17,130
1,135824001,17,26
1,135824001,14,395
1,135824001,18,125
1,135824011,14,317
1,135824011,17,0
1,135824011,18,29
1,135824061,18,52
1,135824061,14,76
1,135824061,17,72
1,135826001,18,57
1,135826001,14,237
1,135826001,17,29
1,135826011,17,3
1,135826011,14,145
1,135826011,18,14
1,135826061,18,86
1,135826061,17,144
1,135826061,14,102
1,135829001,18,3
1,135829001,14,729
1,135829001,17,34
1,135829021,18,39
1,135829021,17,16
1,135829021,14,525
1,135829061,14,78
1,135829061,17,4
1,135829061,18,22
1,135830001,18,369
1,135830001,17,557
1,135830001,14,983
1,135830021,14,998
1,135830021,18,233
1,135830021,17,601
1,135830091,17,365
1,135830091,18,167
1,135830091,14,235
1,139942001,17,695
2,139942001,18,106
1,139942001,14,203
1,139942001,18,517
1,139942011,14,59
1,139942011,18,414
1,139942011,17,564
1,139946001,14,2
1,139946001,17,216
1,139946001,18,1
1,139946011,14,4
1,139946011,18,14
1,139946011,17,177
1,143846111,18,0
1,143846141,18,650
1,143846141,17,932
1,143846141,14,436
99,143846151,17,14001
99,143846151,14,5840
1,143846151,18,46
1,143846151,14,34
2,143846151,17,2448
99,143846151,18,10159
1,143846151,17,104
4,143846151,18,3303
4,143846151,14,1962
4,143846151,17,4162
2,143846151,18,2056
2,143846151,14,1143
1,143846161,14,1096
2,143846161,17,130
1,143846161,17,5502
4,143846161,18,2350
1,143846161,18,1456
4,143846161,17,2950
4,143846161,14,1392
1,144007001,17,2103
1,144007001,18,0
1,144007001,14,0
2,144007001,18,3341
1,144036021,17,18
1,144036021,14,53
1,144036021,18,0
1,144038211,17,0
1,144038221,18,0
1,144038241,17,23
1,144038241,14,6
1,144038241,18,17
1,144038251,17,0
1,144038251,14,18
1,144038261,17,1
1,144038261,14,5
1,144038261,18,0
1,144038271,18,0
1,144038271,14,427
1,144038271,17,0
1,144038281,17,177
1,144038281,18,70
1,144038281,14,758
1,144038291,14,1
1,144038301,18,0
1,144038301,14,11
1,144038301,17,5
2,144038311,18,96
1,144038311,18,21
2,144038311,14,5
1,144038311,17,0
1,144038311,14,53
1,144038321,17,0
1,144038321,18,16
1,144038321,14,6
1,144038341,17,171
1,144038341,18,253
1,144038341,14,193
1,144038351,18,0
1,144038351,17,0
1,144038351,14,3
1,144469001,14,26
1,144469001,17,0
1,144469011,17,20
1,144469021,14,0
1,144469021,17,0
1,144469031,14,196
1,144469031,18,338
1,144469031,17,498
1,144469041,18,400
1,144469041,17,528
1,144469041,14,302
1,144480001,14,0
1,144480001,17,0
1,144480001,18,56
1,144480011,18,54
1,144480011,14,594
1,144480011,17,77
2,144480011,14,118
1,144480021,17,5133
1,144480021,18,108
1,144480021,14,0
1,144480031,17,3
1,144480031,14,0
1,144480031,18,90
1,144480041,18,82
1,144480041,17,166
1,144480051,18,214
1,144480051,14,100
1,144480051,17,238
1,144480061,17,52
1,144480061,14,18
1,144480061,18,95
3,144572011,14,289
1,144572011,17,1226
1,144572011,18,1366
1,144572011,14,594
4,144572011,14,5313
3,144572011,18,423
3,144572011,17,488
4,144572011,17,7859
4,144572011,18,7428
1,144629131,18,0
1,144629151,17,1
1,144629191,18,1431
1,144629191,17,471
1,144629191,14,2308
1,144629201,17,0
1,144629201,14,0
1,144629201,18,0
1,145177021,14,2104
1,145177021,18,758
1,145177021,17,4966
1,145177031,17,3850
1,145177031,18,944
1,145177031,14,2022
1,145177041,18,0
1,145177051,17,3660
1,145177051,14,18
1,145177051,18,54
1,145183111,17,0
1,145183111,14,0
1,145183111,18,0
1,145183121,18,0
1,145183121,17,0
99,145688081,18,3174
1,145688081,17,0
2,145688081,14,123
99,145688081,14,1705
1,145688081,18,0
99,145688081,17,4521
1,145688141,18,0
1,145688141,14,0
1,145688141,17,0
1,145688181,17,0
1,145912011,18,0
1,145912011,14,0
1,145912011,17,2
1,145912021,18,54
1,145912021,17,360
1,145912021,14,70
2,145969001,17,4570
1,145969001,18,540
1,145969001,17,0
1,145969001,14,684
1,145969031,17,80
1,145969031,18,238
1,145969031,14,1770
2,145969031,17,2190
1,145969041,14,326
2,145969041,17,2586
1,145969041,18,0
1,145969041,17,0
1,145969051,14,0
1,145969051,17,0
1,145969051,18,0
1,146527031,17,185
1,146527031,14,0
1,146527031,18,0
1,146527061,17,44
1,146527061,14,0
1,146527061,18,0
1,146562051,18,0
4,146801021,18,1748
1,146801021,14,0
4,146801021,17,2277
3,146801021,14,1403
2,146801021,18,125
1,146801021,17,0
1,146801021,18,0
2,146801021,17,113
1,146801031,17,0
4,146801041,18,3132
1,146801041,14,0
3,146801041,14,2792
4,146801041,17,5096
1,146801041,18,0
1,146801041,17,0
1,146801061,14,0
1,146801061,18,12
1,146801061,17,112
1,146801071,18,566
4,146801071,18,2205
1,146801071,14,282
4,146801071,17,4166
3,146801071,14,3304
1,146801071,17,846
1,146801081,18,954
4,146801081,18,580
3,146801081,14,323
1,146801081,17,1082
1,146801081,14,50
4,146801081,17,732
2,146801081,14,2182
1,146806001,14,96
4,146806001,17,620
1,146806001,17,90
1,146806001,18,184
4,146806001,18,419
4,146806001,14,361
1,146806031,18,463
4,146806031,14,703
1,146806031,14,0
4,146806031,17,1272
1,146806031,17,217
4,146806031,18,825
1,146806051,18,321
2,146806051,18,57
1,146806051,14,0
1,146806051,17,0
4,146806051,18,1118
4,146806051,14,1005
2,146806051,14,54
4,146806051,17,1677
1,146806061,17,0
2,146806061,18,53
1,146806061,18,8
4,146806061,14,708
2,146806061,14,38
4,146806061,17,1406
1,146806061,14,0
4,146806061,18,986
1,146806071,17,103
4,146806071,14,452
2,146806071,14,18
4,146806071,18,629
1,146806071,18,70
1,146806071,14,26
4,146806071,17,919
2,146806071,18,25
2,146806091,18,29
1,146806091,17,0
1,146806091,18,0
4,146806091,18,314
4,146806091,17,456
4,146806091,14,230
2,146806091,14,21
1,146806091,14,0
1,146806181,18,534
1,146806181,14,660
1,146806181,17,1540
1,146806191,18,475
1,146806191,17,1115
1,146806191,14,550
1,146806201,14,750
1,146806201,17,2107
1,146806201,18,588
1,146806211,18,328
1,146806211,17,477
1,146806211,14,334
1,146806221,14,631
1,146806221,17,2026
1,146806221,18,762
1,146811001,14,0
2,146811001,14,304
1,146811001,18,0
2,146811001,18,199
4,146811001,18,424
4,146811001,17,482
2,146811001,17,200
1,146811001,17,0
1,146811011,14,0
1,146811011,18,0
2,146811011,18,221
1,146811011,17,0
2,146811011,17,224
2,146811021,17,179
2,146811021,18,174
4,146811021,18,564
4,146811021,17,644
2,146811021,14,404
1,146811021,17,0
1,146811021,14,0
1,146811021,18,6
1,146811031,18,0
1,146811031,14,0
1,146811031,17,0
4,146811031,17,802
2,146811031,14,504
4,146811031,18,704
2,146811031,18,73
2,146811031,17,77
1,146811041,14,0
4,146811041,14,504
2,146811041,17,56
1,146811041,17,1
4,146811041,17,802
4,146811041,18,704
1,146811041,18,0
2,146811041,18,45
4,146811061,17,1202
1,146811061,17,0
4,146811061,18,1054
1,146811061,18,5
1,146811061,14,0
4,146811061,14,752
4,146811071,14,628
4,146811071,17,1004
1,146811071,18,52
1,146811071,17,0
4,146811071,18,878
1,146811071,14,0
1,146813011,18,0
1,146813011,14,0
1,146813011,17,0
1,146813041,14,0
1,146813041,17,0
1,146813051,18,0
1,146813051,17,0
1,146813061,18,0
1,146813061,14,0
1,146813061,17,0
1,146813141,14,156
2,146813141,14,101
1,146813141,18,160
1,146813141,17,82
1,146813151,14,102
1,146813151,18,460
2,146813151,14,472
1,146813151,17,342
1,146813161,18,976
1,146813161,17,1242
1,146813161,14,428
2,146813161,14,425
2,146813171,14,77
1,146813171,14,80
1,146813171,18,172
1,146813171,17,142
1,146820001,18,0
1,146820001,14,0
1,146820001,17,0
1,146820011,17,0
1,146820011,14,0
1,146820011,18,0
3,146820021,17,1114
3,146820021,18,768
1,146820021,14,0
2,146820021,14,701
1,146820021,17,0
1,146820031,17,0
2,146820041,17,1560
1,146820041,18,276
2,146820041,18,1356
1,146820041,17,214
2,146820041,14,939
1,146820041,14,88
1,146820051,14,509
1,146820051,17,277
1,146820051,18,551
1,146820061,14,102
1,146820061,18,347
1,146820061,17,121
1,146923011,14,264
1,146923011,18,474
1,146923011,17,642
1,146923031,17,473
1,146923031,18,257
1,146923031,14,326
1,146971001,18,0
1,146971001,17,0
1,146971011,18,0
1,146971011,17,2
1,146971011,14,0
1,146971021,18,722
1,146971021,14,0
1,146971021,17,544
1,146971031,18,1016
1,146971031,17,1032
1,146971031,14,34
1,146971051,17,2
1,146971061,14,916
1,146971061,17,2278
1,146971061,18,1466
1,146971071,14,0
1,146971071,17,362
1,146971071,18,660
1,146971091,18,1142
1,146971091,14,86
1,146971091,17,1036
1,146971121,18,0
1,146971121,17,0
1,146971121,14,94
1,146971131,17,12
1,146971131,14,56
1,146971131,18,0
1,146971141,14,146
1,146971141,18,664
1,146971141,17,482
1,146971151,17,660
1,146971151,14,468
1,146971151,18,456
1,147005011,14,570
1,147005011,17,983
1,147005021,17,1099
1,147005021,14,841
1,147005031,17,98
1,147005031,14,179
1,147032001,14,0
1,147032001,18,0
4,147032001,14,2829
4,147032001,18,4617
1,147032001,17,0
4,147032001,17,6554
1,147032011,18,0
1,147032011,17,0
1,147032021,18,0
1,147032021,14,0
1,147032021,17,2
4,147032021,14,4723
4,147032021,17,6352
4,147032021,18,3815
1,147032081,18,471
3,147032081,18,441
3,147032081,14,277
1,147032081,14,0
4,147032081,14,1713
1,147032081,17,0
4,147032081,17,3406
3,147032081,17,692
4,147032081,18,2681
1,147032091,18,0
1,147032091,17,0
4,147032091,18,3348
3,147032091,17,548
2,147032091,17,1618
3,147032091,14,221
2,147032091,18,1047
4,147032091,14,2148
1,147032091,14,36
4,147032091,17,4304
3,147032091,18,351
3,147032101,18,501
4,147032101,18,3396
4,147032101,14,2157
1,147032101,18,743
3,147032101,14,316
1,147032101,17,98
1,147032101,14,0
4,147032101,17,4247
3,147032101,17,793
4,147064011,17,1074
4,147064011,18,705
4,147064011,14,538
1,147064011,17,348
1,147064011,18,214
1,147064011,14,434
1,147064031,17,374
1,147064031,14,256
1,147064031,18,236
4,147064031,18,751
4,147064031,14,501
4,147064031,17,1065
4,147064041,14,529
4,147064041,17,1074
1,147064041,14,312
1,147064041,18,250
4,147064041,18,714
1,147064041,17,496
1,147064051,18,198
1,147064051,17,546
4,147064051,18,676
1,147064051,14,358
4,147064051,17,1086
4,147064051,14,555
1,147064061,17,662
1,147064061,18,348
1,147064061,14,248
4,147064071,14,598
4,147064071,18,853
4,147064071,17,1204
1,147064071,18,274
1,147064071,14,224
1,147064071,17,276
1,147096071,18,0
4,147096071,18,1367
1,147096071,17,0
1,147096071,14,0
4,147096071,14,746
3,147096071,17,539
1,147096081,17,0
3,147096081,17,823
1,147096081,18,0
4,147096081,18,1603
4,147096081,14,858
1,147096081,14,0
1,147096091,18,0
1,147096091,14,0
4,147096091,18,1263
3,147096091,17,378
4,147096091,14,655
1,147096091,17,0
1,147107041,18,0
1,147107071,18,0
1,147107081,18,0
1,147107081,17,0
1,147107081,14,0
1,147107091,14,0
1,147107091,18,0
1,147107091,17,0
1,147107101,17,0
1,147107101,18,0
1,147107101,14,0
1,147479021,17,0
1,147479031,18,0
1,147813001,14,10
1,147813001,17,434
1,147813001,18,54
1,147813021,18,44
1,147813021,17,490
1,148025001,18,284
4,148025001,14,4346
4,148025001,18,3971
1,148025001,14,1114
4,148025001,17,8297
1,148025001,17,590
4,148025011,18,2483
4,148025011,14,3471
4,148025011,17,3492
1,148025011,17,1806
1,148025011,18,296
1,148025011,14,1571
1,148034001,18,0
1,148034001,14,130
1,148073001,18,0
1,148073001,14,0
1,148073001,17,2
1,148073021,17,11
1,148073021,14,1825
1,148073021,18,0
1,148073031,17,0
1,148073031,14,0
1,148073031,18,0
1,148073041,17,0
1,148073041,14,1342
1,148073041,18,0
1,148073051,17,0
1,148073051,18,0
1,148073051,14,0
1,148073081,17,0
1,148073081,18,0
4,148073081,17,3412
1,148073081,14,0
3,148073081,18,2148
4,148073081,14,2390
1,148077021,17,374
4,148077021,17,4405
1,148077021,14,0
4,148077021,14,2705
3,148077041,18,1582
1,148077041,14,66
1,148077041,17,0
2,148077041,18,1
4,148077041,17,2837
1,148077041,18,0
3,148077041,14,1600
4,148077051,17,2396
3,148077051,18,1302
3,148077051,14,1341
2,148077051,18,1
1,148077051,18,0
1,148077051,17,0
1,148077051,14,38
1,148077061,14,42
2,148077061,18,4
1,148077061,17,0
3,148077061,14,816
3,148077061,18,730
4,148077061,17,1430
1,148077061,18,0
1,148077071,18,0
1,148077071,14,64
2,148077071,18,2
4,148077071,17,3129
1,148077071,17,0
3,148077071,14,1631
3,148077071,18,1548
1,148089051,18,0
1,148089051,14,45
1,148089051,17,3
1,148089181,14,0
1,148089181,17,0
1,148089191,18,0
1,148089191,14,25
1,148089191,17,0
1,148089201,14,0
1,148089231,14,0
1,148089231,18,8
1,148089231,17,0
1,148089241,14,16
1,148089241,17,15
1,148089241,18,25
1,148089251,14,43
1,148089251,18,130
1,148089251,17,19
1,148090251,18,0
1,148090251,17,0
1,148090251,14,0
1,148090261,18,0
1,148090261,17,0
1,148090261,14,141
1,148090271,18,0
1,148090271,14,0
1,148090271,17,0
1,148090281,18,2
1,148090281,14,5
1,148090281,17,1
1,148090301,18,0
1,148090301,14,1
1,148090311,14,0
1,148090311,18,0
1,148090311,17,0
2,148090321,14,5
1,148090331,14,0
1,148090331,17,0
1,148090331,18,0
1,148090341,14,38
1,148090341,18,230
1,148090341,17,0
1,148090351,14,0
1,148090351,17,0
1,148090351,18,0
1,148090361,14,40
1,148090361,18,37
1,148090361,17,0
1,148096001,14,0
1,148096001,17,0
1,148096001,18,0
1,148096011,14,0
1,148096011,17,0
1,148096011,18,30
2,148096021,17,486
2,148096021,14,144
1,148096021,14,0
1,148096021,17,0
2,148096021,18,374
1,148096021,18,58
1,148096031,18,0
1,148096031,14,0
1,148096031,17,0
1,148096041,18,0
1,148096041,14,0
1,148096041,17,0
1,148096051,14,0
1,148096051,17,0
1,148096051,18,0
2,148167011,17,98
1,148167011,18,0
2,148167011,14,84
1,148167011,14,0
1,148167011,17,0
2,148167011,18,56
2,148167021,14,549
1,148167021,14,0
1,148167021,18,0
1,148167021,17,0
1,148167031,17,0
2,148167031,14,379
1,148216001,17,0
1,148274001,18,0
1,148274001,14,11
1,148822011,14,16
1,148822011,17,120
1,148822011,18,187
1,148822021,18,0
1,148822031,14,11067
1,148822031,18,499
1,148822031,17,814
1,148822041,17,0
1,148822041,18,551
1,148822041,14,0
1,148822061,14,41
2,148822061,18,103
1,148822061,17,291
1,148822061,18,349
1,148822071,17,0
1,148822071,14,0
1,148822071,18,495
1,148822081,18,150
1,148822081,14,1496
1,148822081,17,1555
1,148822091,18,0
1,148822091,17,6
1,148822091,14,2
1,148822101,14,888
1,148822101,18,1111
1,148822101,17,2642
1,148824001,17,4
1,148824001,18,0
1,148824091,18,0
1,148824111,14,743
1,148824111,17,896
1,148824111,18,70
1,148824121,18,18
1,148824121,17,381
1,148824121,14,52
1,148824181,18,0
1,148824201,17,2
1,148824211,14,46
1,148824211,17,66
1,148824211,18,11
1,148824221,17,0
1,148824221,14,42
1,148824221,18,25
1,148824231,17,402
1,148824231,14,418
1,148824231,18,6
1,148824241,17,0
1,148824241,18,0
1,148824241,14,0
1,148824251,14,22
1,148824251,17,0
1,148824251,18,0
1,148824261,17,0
1,148824261,14,0
1,148824261,18,0
1,148824271,17,0
1,148824271,14,0
1,148824281,17,0
1,148824281,18,0
1,148824281,14,0
1,148824291,14,28
1,148824291,17,0
1,148824291,18,0
1,148824301,18,77
1,148824301,17,0
1,148824301,14,0
1,148824311,14,0
1,148824311,18,0
1,148824311,17,0
1,148824321,18,0
1,148824321,17,0
1,148824321,14,0
1,148824331,17,0
1,148824341,14,0
1,148824341,17,0
1,148824341,18,0
1,148824351,17,0
1,148824351,14,0
1,148824351,18,0
1,148824361,17,27
1,148824361,18,1
1,148824361,14,0
1,148824371,14,124
1,148824371,18,0
1,148824371,17,128
1,148824381,18,139
2,148824381,17,13
1,148824381,14,0
1,148824381,17,517
1,148824391,17,396
2,148824391,14,71
1,148824391,18,0
1,148824391,14,0
1,148824401,18,0
1,148824401,17,24
1,148824411,17,1227
1,148824411,14,25
1,148824411,18,114
1,148824421,17,883
1,148824421,14,3
1,148824421,18,17
1,148824431,14,0
2,148824431,14,53
1,148824431,18,0
1,148824431,17,171
1,148824441,17,572
1,148824441,14,267
1,148824441,18,98
4,155448151,14,435
4,155448151,18,320
1,155448151,18,114
1,155448151,14,153
4,155448151,17,390
1,155448151,17,313
1,155448341,14,0
1,155448341,18,10
1,155448341,17,0
1,155448351,17,6
1,155448351,14,0
1,155448351,18,28
1,155448411,18,4
1,155448411,14,0
1,155448411,17,4
1,155448421,18,940
1,155448421,14,816
1,155448421,17,1504
2,155448421,14,55
1,155448431,14,776
2,155448431,14,99
1,155448431,17,1366
1,155448431,18,980
1,169515001,14,54
1,169515001,18,26
1,169515001,17,104
1,169515011,14,4
1,169515011,17,16
1,169515011,18,6
1,169515021,14,8
1,169515021,17,10
4,169846001,18,2754
1,169846001,17,0
4,169846001,14,1162
4,169846001,17,4084
1,169846001,18,0
4,169846011,14,2286
4,169846011,17,4433
4,169846011,18,3781
1,169846011,17,0
1,169846011,18,0
