PGM_GRP_ID_S,PERIOD,prc_lb,prc_ub
1319,1,13.98,34.94
1319,2,13.98,34.94
1319,3,13.98,34.94
1319,4,13.98,34.94
1319,99,5.24,29.7
1605,1,15.98,39.94
1605,2,15.98,39.94
1605,3,15.98,39.94
1605,4,15.98,39.94
69285,1,6.78,16.94
69285,2,6.78,16.94
69285,99,2.54,14.4
69285,3,6.78,16.94
69285,4,6.78,16.94
71183,1,7.18,17.94
71183,2,7.18,17.94
71183,3,7.18,17.94
71183,4,7.18,17.94
71183,99,2.69,15.25
68831,1,9.18,22.94
68831,2,9.18,22.94
68831,3,9.18,22.94
68831,4,9.18,22.94
68831,99,3.44,19.5
69195,1,9.98,24.94
69195,2,9.98,24.94
69195,99,3.74,21.2
71443,99,2.24,12.7
71413,1,15.98,39.94
71413,2,15.98,39.94
72279,1,5.98,14.94
72279,2,5.98,14.94
72279,3,5.98,14.94
72279,4,5.98,14.94
72279,99,2.24,12.7
70537,1,13.98,34.94
70537,2,13.98,34.94
70537,3,13.98,34.94
70537,4,13.98,34.94
70537,99,5.24,29.7
69243,99,3.74,21.2
68773,99,2.99,16.95
69297,1,11.98,29.94
69297,2,11.98,29.94
69297,3,11.98,29.94
69297,4,11.98,29.94
69297,99,4.49,25.45
69565,99,1.49,8.45
69613,1,6.78,16.94
69613,2,6.78,16.94
69613,3,6.78,16.94
69613,99,2.54,14.4
68999,1,9.98,24.94
68999,2,9.98,24.94
68999,3,9.98,24.94
68999,4,9.98,24.94
68999,99,3.74,21.2
70849,99,1.94,11
69661,1,9.18,22.94
69661,2,9.18,22.94
69661,99,3.44,19.5
517,1,3.98,9.94
517,2,3.98,9.94
517,3,3.98,9.94
517,4,3.98,9.94
517,99,1.49,8.45
72481,1,2,5
72481,2,2,5
72481,3,2,5
72481,4,2,5
72481,99,0.75,4.25
50983,1,7.98,19.94
50983,2,7.98,19.94
50983,3,7.98,19.94
50983,99,2.99,16.95
69099,1,6,15
69099,2,6,15
69099,3,6,15
69099,4,6,15
69099,99,2.25,12.75
68891,1,11.98,29.94
68891,2,11.98,29.94
68891,3,11.98,29.94
68891,4,11.98,29.94
70325,1,9.8,24.5
70325,2,9.8,24.5
70325,3,9.8,24.5
70325,4,9.8,24.5
69507,1,5,12.5
69507,2,5,12.5
69507,3,5,12.5
69507,4,5,12.5
70299,1,5.4,13.5
70299,2,5.4,13.5
70299,3,5.4,13.5
70299,4,5.4,13.5
197,1,7.8,19.5
197,2,7.8,19.5
197,3,7.8,19.5
197,4,7.8,19.5
70855,1,1.4,3.5
70855,2,1.4,3.5
70855,3,1.4,3.5
70855,4,1.4,3.5
69251,3,5.98,14.94
69251,4,5.98,14.94
71431,1,11.98,29.94
71431,2,11.98,29.94
71431,3,11.98,29.94
71431,4,11.98,29.94
71431,99,4.49,25.45
69169,1,9.98,24.94
69169,2,9.98,24.94
69169,99,3.74,21.2
70989,1,9.98,24.94
70989,2,9.98,24.94
70989,3,9.98,24.94
70989,4,9.98,24.94
70989,99,3.74,21.2
70421,1,6,15
70421,2,6,15
70421,99,2.25,12.75
68727,1,10.78,26.94
68727,2,10.78,26.94
68727,3,10.78,26.94
68727,4,10.78,26.94
68727,99,4.04,22.9
68811,1,3.98,9.94
68811,2,3.98,9.94
68811,3,3.98,9.94
68811,4,3.98,9.94
68811,99,1.49,8.45
70769,1,9.18,22.94
70769,2,9.18,22.94
70769,3,9.18,22.94
70769,4,9.18,22.94
70769,99,3.44,19.5
70459,1,9.18,22.94
70459,2,9.18,22.94
70459,3,9.18,22.94
70459,4,9.18,22.94
70459,99,3.44,19.5
70755,1,6.78,16.94
70755,2,6.78,16.94
70755,3,6.78,16.94
70755,4,6.78,16.94
70755,99,2.54,14.4
71677,1,6.78,16.94
71677,2,6.78,16.94
71677,3,6.78,16.94
71677,4,6.78,16.94
71677,99,2.54,14.4
71347,1,5.98,14.94
71347,2,5.98,14.94
71347,3,5.98,14.94
71347,4,5.98,14.94
71347,99,2.24,12.7
72855,1,5.98,14.94
72855,2,5.98,14.94
72855,99,2.24,12.7
72855,3,5.98,14.94
72855,4,5.98,14.94
69003,1,6.78,16.94
69003,2,6.78,16.94
69003,3,6.78,16.94
69003,4,6.78,16.94
69003,99,2.54,14.4
71261,1,7.98,19.94
71261,2,7.98,19.94
71261,99,2.99,16.95
71261,3,7.98,19.94
71261,4,7.98,19.94
70433,1,7.98,19.94
70433,2,7.98,19.94
70433,3,7.98,19.94
70433,4,7.98,19.94
70433,99,2.99,16.95
72071,1,6.78,16.94
72071,2,6.78,16.94
72071,3,6.78,16.94
72071,99,2.54,14.4
71373,1,7.98,19.94
71373,2,7.98,19.94
71373,99,2.99,16.95
71227,1,7.98,19.94
71227,2,7.98,19.94
71227,3,7.98,19.94
71227,4,7.98,19.94
71227,99,2.99,16.95
72067,1,4.38,10.94
72067,2,4.38,10.94
72067,3,4.38,10.94
72067,99,1.64,9.3
69825,1,4.38,10.94
69825,2,4.38,10.94
69825,3,4.38,10.94
69825,4,4.38,10.94
69825,99,1.64,9.3
70461,1,6.78,16.94
70461,2,6.78,16.94
70461,3,6.78,16.94
70461,99,2.54,14.4
70467,1,10.78,26.94
70467,2,10.78,26.94
70467,99,4.04,22.9
70499,1,9.98,24.94
70499,2,9.98,24.94
70499,99,3.74,21.2
70979,1,9.98,24.94
70979,2,9.98,24.94
70979,3,9.98,24.94
70979,99,3.74,21.2
70919,1,6.78,16.94
70919,2,6.78,16.94
70919,3,6.78,16.94
70919,4,6.78,16.94
70919,99,2.54,14.4
69973,1,6.78,16.94
69973,2,6.78,16.94
69973,3,6.78,16.94
69973,99,2.54,14.4
71269,1,5.98,14.94
71269,2,5.98,14.94
71269,3,5.98,14.94
71269,4,5.98,14.94
71269,99,2.24,12.7
71477,1,5.98,14.94
71477,2,5.98,14.94
71477,3,5.98,14.94
71477,4,5.98,14.94
71477,99,2.24,12.7
70697,1,4.38,10.94
70697,2,4.38,10.94
70697,99,1.64,9.3
71271,1,5.18,12.94
71271,2,5.18,12.94
71271,3,5.18,12.94
71271,4,5.18,12.94
71271,99,1.94,11
70723,1,5.18,12.94
70723,2,5.18,12.94
70723,99,1.94,11
69857,1,3.18,7.94
69857,2,3.18,7.94
69857,3,3.18,7.94
69857,99,1.19,6.75
69857,4,3.18,7.94
70489,1,5.98,14.94
70489,2,5.98,14.94
70489,3,5.98,14.94
70489,4,5.98,14.94
70489,99,2.24,12.7
70611,1,7.98,19.94
70611,2,7.98,19.94
70611,3,7.98,19.94
70611,4,7.98,19.94
70611,99,2.99,16.95
61135,1,5.98,14.94
61135,2,5.98,14.94
61135,99,2.24,12.7
70429,1,5.98,14.94
70429,2,5.98,14.94
70429,99,2.24,12.7
72255,1,5.18,12.94
72255,2,5.18,12.94
72255,3,5.18,12.94
72255,4,5.18,12.94
72255,99,1.94,11
72253,1,4.38,10.94
72253,2,4.38,10.94
72253,99,1.64,9.3
70683,1,7.98,19.94
70683,2,7.98,19.94
70683,99,2.99,16.95
71813,1,10.78,26.94
71813,2,10.78,26.94
71813,3,10.78,26.94
71813,4,10.78,26.94
71813,99,4.04,22.9
70923,1,7.98,19.94
70923,2,7.98,19.94
70923,3,7.98,19.94
70923,4,7.98,19.94
70923,99,2.99,16.95
71073,1,9.98,24.94
71073,2,9.98,24.94
71073,3,9.98,24.94
71073,4,9.98,24.94
71073,99,3.74,21.2
71511,1,5.18,12.94
71511,2,5.18,12.94
71511,3,5.18,12.94
71511,4,5.18,12.94
69773,1,6.78,16.94
69773,2,6.78,16.94
69773,3,6.78,16.94
69773,4,6.78,16.94
69773,99,2.54,14.4
70315,1,11.98,29.94
70315,2,11.98,29.94
72061,1,11.98,29.94
72061,2,11.98,29.94
72061,3,11.98,29.94
72061,4,11.98,29.94
72061,99,4.49,25.45
70329,1,10.78,26.94
70329,2,10.78,26.94
70329,99,4.04,22.9
70333,1,10.78,26.94
70333,2,10.78,26.94
70333,99,4.04,22.9
71601,1,10.78,26.94
71601,2,10.78,26.94
71601,99,4.04,22.9
71603,1,13.98,34.94
71603,2,13.98,34.94
71603,3,13.98,34.94
71603,4,13.98,34.94
71603,99,5.24,29.7
71597,1,10.78,26.94
71597,2,10.78,26.94
71597,3,10.78,26.94
71597,4,10.78,26.94
71597,99,4.04,22.9
70111,1,7.58,18.94
70111,2,7.58,18.94
70111,99,2.84,16.1
71577,1,7.98,19.94
71577,2,7.98,19.94
71577,3,7.98,19.94
71577,4,7.98,19.94
71577,99,2.99,16.95
70113,1,6.78,16.94
70113,2,6.78,16.94
70113,99,2.54,14.4
70129,1,6.78,16.94
70129,2,6.78,16.94
70129,99,2.54,14.4
70133,1,5.98,14.94
70133,2,5.98,14.94
70133,3,5.98,14.94
70133,4,5.98,14.94
70133,99,2.24,12.7
71021,1,5.98,14.94
71021,2,5.98,14.94
71021,3,5.98,14.94
71021,4,5.98,14.94
71021,99,2.24,12.7
70561,1,5.98,14.94
70561,2,5.98,14.94
70561,99,2.24,12.7
70097,1,5.18,12.94
70097,2,5.18,12.94
70097,99,1.94,11
71397,1,13.18,32.94
71397,2,13.18,32.94
71397,3,13.18,32.94
71397,4,13.18,32.94
71397,99,4.94,28
70633,1,13.18,32.94
70633,2,13.18,32.94
70633,3,13.18,32.94
70633,4,13.18,32.94
71051,1,13.98,34.94
71051,2,13.98,34.94
71051,3,13.98,34.94
71051,4,13.98,34.94
71051,99,5.24,29.7
70679,1,2.78,6.94
70679,2,2.78,6.94
70679,3,2.78,6.94
70679,4,2.78,6.94
70679,99,1.04,5.9
70425,1,5.18,12.94
70425,2,5.18,12.94
70425,3,5.18,12.94
70425,4,5.18,12.94
70425,99,1.94,11
69449,1,3.4,8.5
69449,2,3.4,8.5
69449,99,1.28,7.23
71059,1,5.98,14.94
71059,2,5.98,14.94
71059,3,5.98,14.94
71059,4,5.98,14.94
71059,99,2.24,12.7
71425,1,15.98,39.94
71425,2,15.98,39.94
71425,99,5.99,33.95
70737,1,11.98,29.94
70737,2,11.98,29.94
70737,99,4.49,25.45
71353,1,11.98,29.94
71353,2,11.98,29.94
71353,3,11.98,29.94
71353,4,11.98,29.94
71353,99,4.49,25.45
70641,1,11.98,29.94
70641,2,11.98,29.94
70641,3,11.98,29.94
70641,4,11.98,29.94
70641,99,4.49,25.45
69853,1,3.98,9.94
69853,2,3.98,9.94
69853,3,3.98,9.94
69853,4,3.98,9.94
69853,99,1.49,8.45
70647,1,7.98,19.94
70647,2,7.98,19.94
70647,99,2.99,16.95
69861,1,6.78,16.94
69861,2,6.78,16.94
69861,99,2.54,14.4
71297,1,6.78,16.94
71297,2,6.78,16.94
71297,3,6.78,16.94
71297,4,6.78,16.94
71297,99,2.54,14.4
71267,1,6.78,16.94
71267,2,6.78,16.94
71267,3,6.78,16.94
71267,4,6.78,16.94
71267,99,2.54,14.4
71087,1,7.98,19.94
71087,2,7.98,19.94
71087,3,7.98,19.94
71087,4,7.98,19.94
71087,99,2.99,16.95
71555,1,6.78,16.94
71555,2,6.78,16.94
71555,3,6.78,16.94
71555,4,6.78,16.94
71555,99,2.54,14.4
71497,1,5.98,14.94
71497,2,5.98,14.94
71497,3,5.98,14.94
71497,4,5.98,14.94
71497,99,2.24,12.7
71707,1,7.98,19.94
71707,2,7.98,19.94
71707,3,7.98,19.94
71707,4,7.98,19.94
71707,99,2.99,16.95
69967,1,5.18,12.94
69967,2,5.18,12.94
69967,99,1.94,11
69967,3,5.18,12.94
69967,4,5.18,12.94
69797,1,5.98,14.94
69797,2,5.98,14.94
69797,99,2.24,12.7
69847,1,5.98,14.94
69847,2,5.98,14.94
69847,99,2.24,12.7
70159,1,14.78,36.94
70159,2,14.78,36.94
70159,3,14.78,36.94
70159,4,14.78,36.94
70159,99,5.54,31.4
70649,1,13.98,34.94
70649,2,13.98,34.94
70649,99,5.24,29.7
72471,1,9.98,24.94
72471,2,9.98,24.94
72471,3,9.98,24.94
72471,4,9.98,24.94
72471,99,3.74,21.2
72473,1,11.98,29.94
72473,2,11.98,29.94
72473,99,4.49,25.45
69325,1,9.98,24.94
69325,2,9.98,24.94
69325,99,3.74,21.2
69745,1,10.78,26.94
69745,2,10.78,26.94
69745,99,4.04,22.9
70953,1,10.78,26.94
70953,2,10.78,26.94
70953,99,4.04,22.9
69697,1,9.18,22.94
69697,2,9.18,22.94
69697,99,3.44,19.5
71399,1,10.78,26.94
71399,2,10.78,26.94
71399,3,10.78,26.94
71399,4,10.78,26.94
71399,99,4.04,22.9
71407,1,10.78,26.94
71407,2,10.78,26.94
71407,3,10.78,26.94
71407,4,10.78,26.94
71407,99,4.04,22.9
71241,1,11.98,29.94
71241,2,11.98,29.94
71241,3,11.98,29.94
71241,4,11.98,29.94
71241,99,4.49,25.45
71363,1,9.18,22.94
71363,2,9.18,22.94
71363,3,9.18,22.94
71363,4,9.18,22.94
71363,99,3.44,19.5
69103,1,9.98,24.94
69103,2,9.98,24.94
69103,99,3.74,21.2
64517,1,6.78,16.94
64517,2,6.78,16.94
64517,3,6.78,16.94
64517,4,6.78,16.94
64517,99,2.54,14.4
68683,1,9.98,24.94
68683,2,9.98,24.94
68683,99,3.74,21.2
68683,3,9.98,24.94
68683,4,9.98,24.94
71583,1,15.98,39.94
71583,2,15.98,39.94
71583,3,15.98,39.94
71583,4,15.98,39.94
71583,99,5.99,33.95
72749,1,11.98,29.94
72749,2,11.98,29.94
72749,3,11.98,29.94
72749,4,11.98,29.94
72749,99,4.49,25.45
71433,1,10.78,26.94
71433,2,10.78,26.94
71433,99,4.04,22.9
71035,1,14.78,36.94
71035,2,14.78,36.94
71035,3,14.78,36.94
71035,4,14.78,36.94
71035,99,5.54,31.4
70985,1,13.18,32.94
70985,2,13.18,32.94
70985,99,4.94,28
71017,1,11.98,29.94
71017,2,11.98,29.94
71017,3,11.98,29.94
71017,4,11.98,29.94
71017,99,4.49,25.45
70437,1,10.78,26.94
70437,2,10.78,26.94
70437,3,10.78,26.94
70437,4,10.78,26.94
70437,99,4.04,22.9
69777,1,11.98,29.94
69777,2,11.98,29.94
69777,99,4.49,25.45
71435,1,17.98,44.94
71435,2,17.98,44.94
71435,99,6.74,38.2
72493,99,2.24,12.7
71439,1,11.98,29.94
71439,2,11.98,29.94
71439,3,11.98,29.94
71439,4,11.98,29.94
71439,99,4.49,25.45
69063,1,11.98,29.94
69063,2,11.98,29.94
69063,99,4.49,25.45
71437,1,13.98,34.94
71437,2,13.98,34.94
71437,99,5.24,29.7
69453,1,13.98,34.94
69453,2,13.98,34.94
69453,99,5.24,29.7
69453,3,13.98,34.94
69453,4,13.98,34.94
72493,3,5.98,14.94
72493,4,5.98,14.94
72747,1,15.98,39.94
72747,2,15.98,39.94
72747,3,15.98,39.94
72747,4,15.98,39.94
72747,99,5.99,33.95
71223,1,5.98,14.94
71223,2,5.98,14.94
71223,99,2.24,12.7
72495,1,9.98,24.94
72495,2,9.98,24.94
72495,3,9.98,24.94
72495,4,9.98,24.94
72495,99,3.74,21.2
71223,3,5.98,14.94
71223,4,5.98,14.94
71387,1,5.98,14.94
71387,2,5.98,14.94
71387,3,5.98,14.94
71387,4,5.98,14.94
71387,99,2.24,12.7
70381,1,13.18,32.94
70381,2,13.18,32.94
70381,3,13.18,32.94
70381,4,13.18,32.94
70381,99,4.94,28
68617,1,5.98,14.94
68617,2,5.98,14.94
68617,99,2.24,12.7
68873,1,5.18,12.94
68873,2,5.18,12.94
68873,99,1.94,11
68925,1,4.38,10.94
68925,2,4.38,10.94
68925,99,1.64,9.3
70383,1,5.98,14.94
70383,2,5.98,14.94
70383,99,2.24,12.7
69935,1,6.78,16.94
69935,2,6.78,16.94
69935,99,2.54,14.4
71245,1,7.98,19.94
71245,2,7.98,19.94
71245,99,2.99,16.95
69855,1,6.78,16.94
69855,2,6.78,16.94
69855,99,2.54,14.4
70801,1,7.98,19.94
70801,2,7.98,19.94
70801,99,2.99,16.95
71225,1,5.18,12.94
71225,2,5.18,12.94
71225,3,5.18,12.94
71225,4,5.18,12.94
71225,99,1.94,11
69815,1,7.98,19.94
69815,2,7.98,19.94
69815,99,2.99,16.95
69929,1,7.98,19.94
69929,2,7.98,19.94
69929,99,2.99,16.95
64689,1,9.18,22.94
64689,2,9.18,22.94
64689,99,3.44,19.5
69917,1,6.78,16.94
69917,2,6.78,16.94
69917,3,6.78,16.94
69917,4,6.78,16.94
69917,99,2.54,14.4
57281,1,6.78,16.94
57281,2,6.78,16.94
57281,3,6.78,16.94
57281,4,6.78,16.94
57281,99,2.54,14.4
69809,1,5.98,14.94
69809,2,5.98,14.94
69809,99,2.24,12.7
69823,1,5.98,14.94
69823,2,5.98,14.94
69823,99,2.24,12.7
71049,1,5.98,14.94
71049,2,5.98,14.94
71049,99,2.24,12.7
71065,1,13.18,32.94
71065,2,13.18,32.94
71065,99,4.94,28
69365,1,14.78,36.94
69365,2,14.78,36.94
69365,3,14.78,36.94
69365,99,5.54,31.4
71325,1,9.18,22.94
71325,2,9.18,22.94
71325,3,9.18,22.94
71325,4,9.18,22.94
71325,99,3.44,19.5
72857,1,13.98,34.94
72857,2,13.98,34.94
72857,3,13.98,34.94
72857,4,13.98,34.94
72857,99,5.24,29.7
71005,1,13.98,34.94
71005,2,13.98,34.94
71005,3,13.98,34.94
71005,4,13.98,34.94
71005,99,5.24,29.7
71279,1,7.98,19.94
71279,2,7.98,19.94
71279,3,7.98,19.94
71279,4,7.98,19.94
71279,99,2.99,16.95
71257,1,7.98,19.94
71257,2,7.98,19.94
71257,3,7.98,19.94
71257,4,7.98,19.94
71257,99,2.99,16.95
71233,1,6.78,16.94
71233,2,6.78,16.94
71233,3,6.78,16.94
71233,4,6.78,16.94
71233,99,2.54,14.4
71247,1,5.98,14.94
71247,2,5.98,14.94
71247,3,5.98,14.94
71247,4,5.98,14.94
71247,99,2.24,12.7
71341,1,5.98,14.94
71341,2,5.98,14.94
71341,3,5.98,14.94
71341,4,5.98,14.94
71341,99,2.24,12.7
71925,1,5.18,12.94
71925,2,5.18,12.94
71925,3,5.18,12.94
71925,4,5.18,12.94
71925,99,1.94,11
69615,1,11.98,29.94
69615,2,11.98,29.94
69615,99,4.49,25.45
71563,1,15.98,39.94
71563,2,15.98,39.94
71563,3,15.98,39.94
71563,4,15.98,39.94
71563,99,5.99,33.95
71075,1,13.98,34.94
71075,2,13.98,34.94
71075,99,5.24,29.7
71781,1,11.98,29.94
71781,2,11.98,29.94
71781,99,4.49,25.45
70681,1,11.98,29.94
70681,2,11.98,29.94
70681,3,11.98,29.94
70681,4,11.98,29.94
70681,99,4.49,25.45
71889,3,7.98,19.94
72071,4,6.78,16.94
71889,4,7.98,19.94
71043,1,2,5
71043,2,2,5
71043,99,0.75,4.25
70915,1,1.58,3.94
70915,2,1.58,3.94
70915,3,1.58,3.94
70915,99,0.59,3.35
70915,4,1.58,3.94
71491,1,7.98,19.94
71491,2,7.98,19.94
71491,3,7.98,19.94
71491,4,7.98,19.94
71491,99,2.99,16.95
71891,1,3.98,9.94
71891,2,3.98,9.94
71891,3,3.98,9.94
71891,99,1.49,8.45
70757,1,10.78,26.94
70757,2,10.78,26.94
70757,3,10.78,26.94
70757,4,10.78,26.94
70757,99,4.04,22.9
56799,1,7.18,17.94
56799,2,7.18,17.94
56799,3,7.18,17.94
56799,99,2.69,15.25
69895,1,6.78,16.94
69895,2,6.78,16.94
69895,3,6.78,16.94
69895,99,2.54,14.4
69945,1,7.18,17.94
69945,2,7.18,17.94
69945,3,7.18,17.94
69945,99,2.69,15.25
56801,1,7.58,18.94
56801,2,7.58,18.94
56801,3,7.58,18.94
56801,99,2.84,16.1
56803,1,9.18,22.94
56803,2,9.18,22.94
56803,3,9.18,22.94
56803,99,3.44,19.5
72559,1,6.78,16.94
72559,2,6.78,16.94
72559,3,6.78,16.94
72559,99,2.54,14.4
56805,1,7.58,18.94
56805,2,7.58,18.94
56805,3,7.58,18.94
56805,99,2.84,16.1
71095,1,5.18,12.94
71095,2,5.18,12.94
71095,3,5.18,12.94
71095,99,1.94,11
71229,1,9.18,22.94
71229,2,9.18,22.94
71229,3,9.18,22.94
71229,99,3.44,19.5
72561,1,5.98,14.94
72561,2,5.98,14.94
72561,99,2.24,12.7
72563,1,5.98,14.94
72563,2,5.98,14.94
72563,99,2.24,12.7
70645,1,5.18,12.94
70645,2,5.18,12.94
70645,3,5.18,12.94
70645,4,5.18,12.94
70645,99,1.94,11
72567,1,5.98,14.94
72567,2,5.98,14.94
72567,3,5.98,14.94
72567,4,5.98,14.94
72567,99,2.24,12.7
71003,1,4.38,10.94
71003,2,4.38,10.94
71003,3,4.38,10.94
71003,4,4.38,10.94
71003,99,1.64,9.3
72527,1,5.18,12.94
72527,2,5.18,12.94
72527,99,1.94,11
72531,1,4.38,10.94
72531,2,4.38,10.94
72531,99,1.64,9.3
72533,1,5.18,12.94
72533,2,5.18,12.94
72533,99,1.94,11
70729,1,7.98,19.94
70729,2,7.98,19.94
70729,99,2.99,16.95
69961,1,7.58,18.94
69961,2,7.58,18.94
69961,3,7.58,18.94
69961,99,2.84,16.1
72535,1,5.18,12.94
72535,2,5.18,12.94
72535,3,5.18,12.94
72535,4,5.18,12.94
72535,99,1.94,11
72537,1,5.18,12.94
72537,2,5.18,12.94
72537,3,5.18,12.94
72537,4,5.18,12.94
72537,99,1.94,11
72555,1,3.98,9.94
72555,2,3.98,9.94
72555,3,3.98,9.94
72555,4,3.98,9.94
72555,99,1.49,8.45
72541,1,4.38,10.94
72541,2,4.38,10.94
72541,3,4.38,10.94
72541,4,4.38,10.94
72541,99,1.64,9.3
71933,1,7.98,19.94
71933,2,7.98,19.94
71933,99,2.99,16.95
70789,1,7.98,19.94
70789,2,7.98,19.94
70789,3,7.98,19.94
70789,4,7.98,19.94
70789,99,2.99,16.95
70637,1,6.78,16.94
70637,2,6.78,16.94
70637,3,6.78,16.94
70637,4,6.78,16.94
70637,99,2.54,14.4
70479,1,9.98,24.94
70479,2,9.98,24.94
70479,3,9.98,24.94
70479,4,9.98,24.94
70479,99,3.74,21.2
70415,1,9.18,22.94
70415,2,9.18,22.94
70415,3,9.18,22.94
70415,4,9.18,22.94
70415,99,3.44,19.5
70783,1,7.98,19.94
70783,2,7.98,19.94
70783,3,7.98,19.94
70783,4,7.98,19.94
70783,99,2.99,16.95
71617,1,11.98,29.94
71617,2,11.98,29.94
71617,3,11.98,29.94
71617,4,11.98,29.94
71617,99,4.49,25.45
70717,1,7.58,18.94
70717,2,7.58,18.94
70717,3,7.58,18.94
70717,4,7.58,18.94
70717,99,2.84,16.1
71551,1,9.18,22.94
71551,2,9.18,22.94
71551,3,9.18,22.94
71551,4,9.18,22.94
71551,99,3.44,19.5
70917,1,3.98,9.94
70917,2,3.98,9.94
70917,99,1.49,8.45
71255,1,5.98,14.94
71255,2,5.98,14.94
71255,3,5.98,14.94
71255,4,5.98,14.94
71255,99,2.24,12.7
71331,1,5.18,12.94
71331,2,5.18,12.94
71331,3,5.18,12.94
71331,4,5.18,12.94
71331,99,1.94,11
71019,1,5.18,12.94
71019,2,5.18,12.94
71019,3,5.18,12.94
71019,4,5.18,12.94
71019,99,1.94,11
71379,1,5.18,12.94
71379,2,5.18,12.94
71379,3,5.18,12.94
71379,4,5.18,12.94
71379,99,1.94,11
70695,1,5.18,12.94
70695,2,5.18,12.94
70695,3,5.18,12.94
70695,4,5.18,12.94
70695,99,1.94,11
71295,1,5.18,12.94
71295,2,5.18,12.94
71295,3,5.18,12.94
71295,4,5.18,12.94
71295,99,1.94,11
70607,1,5.18,12.94
70607,2,5.18,12.94
70607,3,5.18,12.94
70607,4,5.18,12.94
70607,99,1.94,11
69963,1,5.18,12.94
69963,2,5.18,12.94
69963,99,1.94,11
69817,1,6.78,16.94
69817,2,6.78,16.94
69817,99,2.54,14.4
69869,1,6.78,16.94
69869,2,6.78,16.94
69869,99,2.54,14.4
69955,1,7.98,19.94
69955,2,7.98,19.94
69955,99,2.99,16.95
69841,1,6.78,16.94
69841,2,6.78,16.94
69841,99,2.54,14.4
69957,1,6.78,16.94
69957,2,6.78,16.94
69957,99,2.54,14.4
71403,1,5.98,14.94
71403,2,5.98,14.94
71403,3,5.98,14.94
71403,4,5.98,14.94
71403,99,2.24,12.7
68961,1,13.98,34.94
68961,2,13.98,34.94
68961,3,13.98,34.94
68961,4,13.98,34.94
68961,99,5.24,29.7
71173,1,7.98,19.94
71173,2,7.98,19.94
71173,3,7.98,19.94
71173,4,7.98,19.94
71173,99,2.99,16.95
70851,1,6.78,16.94
70851,2,6.78,16.94
70851,3,6.78,16.94
70851,4,6.78,16.94
70851,99,2.54,14.4
71901,1,2.6,6.5
71901,2,2.6,6.5
71901,3,2.6,6.5
71901,4,2.6,6.5
71901,99,0.98,5.53
69871,1,5.18,12.94
69871,2,5.18,12.94
69871,3,5.18,12.94
69871,4,5.18,12.94
69871,99,1.94,11
72551,1,5.18,12.94
72551,2,5.18,12.94
72551,3,5.18,12.94
72551,4,5.18,12.94
72551,99,1.94,11
71037,1,3.98,9.94
71037,2,3.98,9.94
71037,3,3.98,9.94
71037,4,3.98,9.94
71037,99,1.49,8.45
71045,1,5.18,12.94
71045,2,5.18,12.94
71045,3,5.18,12.94
71045,4,5.18,12.94
71045,99,1.94,11
57077,1,5.98,14.94
57077,2,5.98,14.94
57077,99,2.24,12.7
71101,1,3.98,9.94
71101,2,3.98,9.94
71101,3,3.98,9.94
71101,4,3.98,9.94
71101,99,1.49,8.45
70955,1,3.98,9.94
70955,2,3.98,9.94
70955,3,3.98,9.94
70955,4,3.98,9.94
70955,99,1.49,8.45
71367,1,3.98,9.94
71367,2,3.98,9.94
71367,3,3.98,9.94
71367,99,1.49,8.45
70653,1,4.38,10.94
70653,2,4.38,10.94
70653,99,1.64,9.3
70743,1,4.38,10.94
70743,2,4.38,10.94
70743,3,4.38,10.94
70743,99,1.64,9.3
71293,1,5.18,12.94
71293,2,5.18,12.94
71293,3,5.18,12.94
71293,4,5.18,12.94
71293,99,1.94,11
71453,1,4.38,10.94
71453,2,4.38,10.94
71453,3,4.38,10.94
71453,4,4.38,10.94
71453,99,1.64,9.3
70351,1,11.98,29.94
70351,2,11.98,29.94
70351,3,11.98,29.94
70351,4,11.98,29.94
70351,99,4.49,25.45
71023,1,5.18,12.94
71023,2,5.18,12.94
71023,3,5.18,12.94
71023,99,1.94,11
70703,1,4.38,10.94
70703,2,4.38,10.94
70703,3,4.38,10.94
70703,99,1.64,9.3
72277,1,3.98,9.94
72277,2,3.98,9.94
72277,3,3.98,9.94
72277,4,3.98,9.94
72277,99,1.49,8.45
64779,1,5.18,12.94
64779,2,5.18,12.94
64779,3,5.18,12.94
64779,99,1.94,11
71361,1,4.38,10.94
71361,2,4.38,10.94
71361,3,4.38,10.94
71361,4,4.38,10.94
71361,99,1.64,9.3
70991,1,3.98,9.94
70991,2,3.98,9.94
70991,3,3.98,9.94
70991,4,3.98,9.94
70991,99,1.49,8.45
71011,1,5.98,14.94
71011,2,5.98,14.94
71011,3,5.98,14.94
71011,4,5.98,14.94
71011,99,2.24,12.7
71505,1,5.18,12.94
71505,2,5.18,12.94
71505,3,5.18,12.94
71505,4,5.18,12.94
71505,99,1.94,11
70969,1,5.98,14.94
70969,2,5.98,14.94
70969,3,5.98,14.94
70969,4,5.98,14.94
70969,99,2.24,12.7
71523,1,5.98,14.94
71523,2,5.98,14.94
71523,3,5.98,14.94
71523,4,5.98,14.94
71523,99,2.24,12.7
71421,1,5.18,12.94
71421,2,5.18,12.94
71421,3,5.18,12.94
71421,4,5.18,12.94
71421,99,1.94,11
70539,1,13.98,34.94
70539,2,13.98,34.94
70539,3,13.98,34.94
70539,4,13.98,34.94
70539,99,5.24,29.7
71369,1,9.98,24.94
71369,2,9.98,24.94
