PGM_GRP_ID_S,PERIOD,prc_lb,prc_ub
1379,4,6.78,16.94
1379,99,2.54,14.4
1875,1,2.38,5.94
1875,2,2.38,5.94
1875,3,2.38,5.94
1875,4,2.38,5.94
1875,99,0.89,5.05
249,1,3.98,9.94
249,2,3.98,9.94
249,3,3.98,9.94
249,4,3.98,9.94
249,99,1.49,8.45
2749,1,4.38,10.94
2749,2,4.38,10.94
2749,3,4.38,10.94
2749,4,4.38,10.94
2749,99,1.64,9.3
68825,1,9.98,24.94
68825,2,9.98,24.94
68825,3,9.98,24.94
68825,4,9.98,24.94
68825,99,3.74,21.2
70555,1,13.98,34.94
70555,2,13.98,34.94
70555,3,13.98,34.94
70555,4,13.98,34.94
70555,99,5.24,29.7
2411,1,1.58,3.94
2411,2,1.58,3.94
2411,3,1.58,3.94
2411,4,1.58,3.94
2411,99,0.59,3.35
2797,1,3.98,9.94
2797,2,3.98,9.94
2797,3,3.98,9.94
2797,4,3.98,9.94
2797,99,1.49,8.45
471,1,3.98,9.94
471,2,3.98,9.94
471,3,3.98,9.94
471,4,3.98,9.94
471,99,1.49,8.45
70553,1,9.98,24.94
70553,2,9.98,24.94
70553,3,9.98,24.94
70553,4,9.98,24.94
70553,99,3.74,21.2
72861,1,3.98,9.94
72861,2,3.98,9.94
72861,3,3.98,9.94
72861,4,3.98,9.94
72861,99,1.49,8.45
70551,1,9.18,22.94
70551,2,9.18,22.94
70551,3,9.18,22.94
70551,4,9.18,22.94
70551,99,3.44,19.5
69087,1,10.78,26.94
69087,2,10.78,26.94
69087,99,4.04,22.9
70549,1,9.18,22.94
70549,2,9.18,22.94
70549,99,3.44,19.5
71889,1,7.98,19.94
71889,2,7.98,19.94
71889,99,2.99,16.95
71419,1,9.98,24.94
71419,2,9.98,24.94
71419,3,9.98,24.94
71419,4,9.98,24.94
71419,99,3.74,21.2
68719,1,9.18,22.94
68719,2,9.18,22.94
68719,99,3.44,19.5
70337,1,5.18,12.94
70337,2,5.18,12.94
70337,3,5.18,12.94
70337,4,5.18,12.94
70337,99,1.94,11
69239,1,5.98,14.94
69239,2,5.98,14.94
69239,3,5.98,14.94
69239,4,5.98,14.94
69239,99,2.24,12.7
69517,1,7.98,19.94
69517,2,7.98,19.94
69517,99,2.99,16.95
69517,3,7.98,19.94
69517,4,7.98,19.94
69703,1,13.18,32.94
69703,2,13.18,32.94
69703,99,4.94,28
68847,1,9.18,22.94
68847,2,9.18,22.94
68847,99,3.44,19.5
68897,1,11.98,29.94
68897,2,11.98,29.94
68897,99,4.49,25.45
