PERIOD,PGM_GRP_ID_S,TGT_SELL_THRUT_RAT,MIN_SELL_THRU_RAT,MAX_SELL_THRU_RAT
2,796,0.815,0.150,0.010
3,796,0.826,0.150,0.010
4,796,0.837,0.100,0.010
99,796,0.990,0.010,0.010
2,802,0.729,0.284,0.010
3,802,0.731,0.302,0.010
4,802,0.824,0.302,0.010
99,802,0.990,0.010,0.010
2,842,0.798,0.150,0.010
3,842,0.812,0.150,0.010
4,842,0.825,0.100,0.010
99,842,0.990,0.010,0.010
2,847,0.986,0.150,0.010
3,847,0.989,0.150,0.010
4,847,0.991,0.100,0.010
99,847,0.990,0.010,0.010
2,849,0.618,0.297,0.010
3,849,0.664,0.305,0.010
4,849,0.696,0.221,0.010
99,849,0.990,0.010,0.010
2,861,0.233,0.150,0.010
3,861,0.273,0.150,0.010
4,861,0.866,0.100,0.010
2,877,0.847,0.150,0.010
3,877,0.847,0.150,0.010
99,877,0.990,0.010,0.010
2,890,0.872,0.150,0.010
3,890,0.844,0.150,0.010
4,890,0.863,0.100,0.010
99,890,0.990,0.010,0.010
2,892,0.658,0.150,0.010
2,943,0.914,0.150,0.010
3,943,0.914,0.150,0.010
99,943,0.990,0.010,0.010
2,964,0.567,0.150,0.010
3,964,0.625,0.150,0.010
4,964,0.706,0.100,0.010
99,964,0.990,0.010,0.010
2,1007,0.877,0.150,0.010
3,1007,0.880,0.150,0.010
4,1007,0.761,0.100,0.010
99,1007,0.990,0.010,0.010
2,1056,0.728,0.150,0.010
3,1056,0.700,0.150,0.010
4,1056,0.814,0.100,0.010
99,1056,0.990,0.010,0.010
2,1088,0.755,0.150,0.010
3,1088,0.775,0.150,0.010
4,1088,0.840,0.111,0.010
99,1088,0.990,0.010,0.010
2,1112,0.884,0.331,0.010
3,1112,0.922,0.298,0.010
4,1112,0.696,0.100,0.010
99,1112,0.990,0.010,0.010
2,1131,0.771,0.152,0.010
2,1211,0.563,0.150,0.010
3,1211,0.563,0.150,0.010
4,1211,0.844,0.100,0.010
2,1234,0.490,0.150,0.010
3,1234,0.521,0.150,0.010
4,1234,0.692,0.100,0.010
99,1234,0.990,0.010,0.010
2,1254,0.818,0.150,0.010
3,1254,0.826,0.150,0.010
4,1254,0.912,0.100,0.010
2,1258,0.920,0.150,0.010
3,1258,0.929,0.150,0.010
4,1258,0.937,0.100,0.010
99,1258,0.990,0.010,0.010
2,1285,0.732,0.241,0.010
3,1285,0.750,0.221,0.010
4,1285,0.870,0.100,0.010
99,1285,0.990,0.010,0.010
2,1287,0.636,0.150,0.010
3,1287,0.677,0.150,0.010
4,1287,0.817,0.100,0.010
99,1287,0.990,0.010,0.010
2,1292,0.492,0.150,0.010
3,1292,0.505,0.150,0.010
4,1292,0.840,0.100,0.010
2,1319,0.853,0.150,0.010
3,1319,0.864,0.150,0.010
4,1319,0.948,0.100,0.010
99,1319,0.990,0.010,0.010
2,1331,0.801,0.150,0.010
3,1331,0.810,0.150,0.010
4,1331,0.915,0.100,0.010
99,1331,0.990,0.010,0.010
2,1333,0.735,0.150,0.010
3,1333,0.706,0.150,0.010
4,1333,0.813,0.100,0.010
99,1333,0.990,0.010,0.010
2,1347,0.687,0.150,0.010
2,1379,0.702,0.150,0.010
3,1379,0.720,0.150,0.010
4,1379,0.737,0.100,0.010
99,1379,0.990,0.010,0.010
2,1390,0.637,0.150,0.010
3,1390,0.644,0.150,0.010
4,1390,0.903,0.100,0.010
99,1390,0.990,0.010,0.010
2,1409,0.979,0.150,0.010
3,1409,0.944,0.150,0.010
4,1409,0.988,0.100,0.010
2,1413,0.654,0.150,0.010
3,1413,0.597,0.150,0.010
4,1413,0.870,0.100,0.010
2,1434,0.780,0.150,0.010
3,1434,0.784,0.150,0.010
4,1434,0.800,0.100,0.010
2,1435,0.620,0.150,0.010
3,1435,0.623,0.150,0.010
4,1435,0.821,0.100,0.010
2,1436,0.754,0.231,0.010
3,1436,0.853,0.150,0.010
4,1436,0.965,0.100,0.010
99,1436,0.990,0.010,0.010
2,1446,0.778,0.150,0.010
3,1446,0.778,0.150,0.010
99,1446,0.990,0.010,0.010
2,1455,0.533,0.150,0.010
3,1455,0.572,0.150,0.010
4,1455,0.722,0.100,0.010
99,1455,0.990,0.010,0.010
2,1461,0.717,0.150,0.010
3,1461,0.729,0.150,0.010
4,1461,0.755,0.100,0.010
99,1461,0.990,0.010,0.010
2,1513,0.647,0.262,0.010
3,1513,0.639,0.204,0.010
4,1513,0.730,0.241,0.010
99,1513,0.990,0.010,0.010
2,1520,0.936,0.150,0.010
3,1520,0.954,0.150,0.010
4,1520,0.970,0.100,0.010
99,1520,0.990,0.010,0.010
2,1528,0.753,0.150,0.010
3,1528,0.765,0.150,0.010
4,1528,0.916,0.175,0.010
99,1528,0.990,0.010,0.010
2,1535,0.509,0.150,0.010
3,1535,0.518,0.150,0.010
4,1535,0.838,0.100,0.010
2,1560,0.724,0.150,0.010
3,1560,0.745,0.150,0.010
4,1560,0.765,0.100,0.010
99,1560,0.990,0.010,0.010
2,1605,0.775,0.150,0.010
3,1605,0.760,0.150,0.010
4,1605,0.849,0.100,0.010
2,1610,0.998,0.150,0.010
3,1610,0.999,0.150,0.010
4,1610,0.999,0.100,0.010
99,1610,0.990,0.010,0.010
2,1618,0.640,0.150,0.010
3,1618,0.640,0.150,0.010
99,1618,0.990,0.010,0.010
2,1622,0.419,0.150,0.010
3,1622,0.445,0.150,0.010
4,1622,0.456,0.100,0.010
99,1622,0.990,0.010,0.010
2,1640,0.769,0.150,0.010
3,1640,0.769,0.150,0.010
4,1640,0.792,0.100,0.010
2,1641,0.696,0.150,0.010
3,1641,0.701,0.150,0.010
4,1641,0.779,0.100,0.010
2,1723,0.693,0.150,0.010
3,1723,0.625,0.150,0.010
4,1723,0.893,0.100,0.010
99,1723,0.990,0.010,0.010
2,1771,0.770,0.150,0.010
3,1771,0.773,0.150,0.010
4,1771,0.823,0.100,0.010
2,1772,0.731,0.150,0.010
99,1772,0.990,0.010,0.010
2,1797,0.677,0.150,0.010
3,1797,0.677,0.150,0.010
99,1797,0.990,0.010,0.010
2,1803,0.896,0.150,0.010
3,1803,0.899,0.150,0.010
