PERIOD,PGM_GRP_ID_S,TGT_SELL_THRUT_RAT,MIN_SELL_THRU_RAT,MAX_SELL_THRU_RAT
99,56950,0.990,0.010,0.010
2,57077,0.815,0.150,0.010
99,57077,0.990,0.010,0.010
2,57116,0.795,0.150,0.010
3,57116,0.795,0.150,0.010
99,57116,0.990,0.010,0.010
2,57281,0.662,0.150,0.010
3,57281,0.704,0.150,0.010
4,57281,0.747,0.114,0.010
99,57281,0.990,0.010,0.010
2,57337,0.714,0.150,0.010
3,57337,0.714,0.150,0.010
99,57337,0.990,0.010,0.010
2,57375,0.980,0.150,0.010
3,57375,0.980,0.150,0.010
99,57375,0.990,0.010,0.010
2,57430,0.758,0.150,0.010
3,57430,0.758,0.150,0.010
99,57430,0.990,0.010,0.010
2,57485,0.944,0.150,0.010
3,57485,0.944,0.150,0.010
99,57485,0.990,0.010,0.010
2,57895,0.591,0.150,0.010
3,57895,0.615,0.150,0.010
4,57895,0.791,0.100,0.010
99,57895,0.990,0.010,0.010
2,60122,0.618,0.150,0.010
99,60122,0.990,0.010,0.010
2,61135,0.720,0.150,0.010
99,61135,0.990,0.010,0.010
2,61136,0.719,0.150,0.010
99,61136,0.990,0.010,0.010
2,61176,0.420,0.150,0.010
3,61176,0.411,0.150,0.010
4,61176,0.456,0.100,0.010
99,61176,0.990,0.010,0.010
2,64354,0.828,0.150,0.010
3,64354,0.828,0.150,0.010
99,64354,0.990,0.010,0.010
2,64355,0.706,0.150,0.010
3,64355,0.706,0.150,0.010
99,64355,0.990,0.010,0.010
2,64356,0.867,0.150,0.010
3,64356,0.867,0.150,0.010
99,64356,0.990,0.010,0.010
2,64359,0.718,0.150,0.010
3,64359,0.718,0.150,0.010
99,64359,0.990,0.010,0.010
2,64476,0.905,0.150,0.010
3,64476,0.905,0.150,0.010
99,64476,0.990,0.010,0.010
2,64517,0.541,0.150,0.010
3,64517,0.582,0.150,0.010
4,64517,0.625,0.100,0.010
99,64517,0.990,0.010,0.010
2,64532,0.622,0.150,0.010
99,64532,0.990,0.010,0.010
2,64632,0.600,0.150,0.010
99,64632,0.990,0.010,0.010
2,64662,0.605,0.150,0.010
99,64662,0.990,0.010,0.010
2,64689,0.718,0.150,0.010
99,64689,0.990,0.010,0.010
2,64740,0.705,0.150,0.010
99,64740,0.990,0.010,0.010
2,64779,0.565,0.150,0.010
3,64779,0.565,0.150,0.010
99,64779,0.990,0.010,0.010
2,65117,0.867,0.150,0.010
3,65117,0.867,0.150,0.010
99,65117,0.990,0.010,0.010
2,65146,0.784,0.150,0.010
99,65146,0.990,0.010,0.010
2,65183,0.933,0.150,0.010
3,65183,0.933,0.150,0.010
99,65183,0.990,0.010,0.010
2,65282,0.734,0.150,0.010
3,65282,0.734,0.150,0.010
99,65282,0.990,0.010,0.010
2,65284,0.935,0.150,0.010
3,65284,0.935,0.150,0.010
99,65284,0.990,0.010,0.010
2,65285,0.859,0.150,0.010
3,65285,0.859,0.150,0.010
99,65285,0.990,0.010,0.010
2,65620,0.688,0.150,0.010
3,65620,0.696,0.150,0.010
4,65620,0.817,0.100,0.010
99,65620,0.990,0.010,0.010
2,67489,0.839,0.297,0.010
3,67489,0.841,0.270,0.010
4,67489,0.857,0.252,0.010
99,67489,0.990,0.010,0.010
2,67492,0.803,0.175,0.010
3,67492,0.811,0.160,0.010
4,67492,0.847,0.111,0.010
99,67492,0.990,0.010,0.010
2,67505,0.660,0.150,0.010
3,67505,0.662,0.150,0.010
4,67505,0.842,0.100,0.010
99,67505,0.990,0.010,0.010
2,68617,0.839,0.150,0.010
99,68617,0.990,0.010,0.010
2,68625,0.653,0.288,0.010
3,68625,0.675,0.160,0.010
4,68625,0.696,0.145,0.010
99,68625,0.990,0.010,0.010
2,68628,0.826,0.150,0.010
3,68628,0.841,0.150,0.010
4,68628,0.841,0.100,0.010
99,68628,0.990,0.010,0.010
2,68633,0.825,0.177,0.010
3,68633,0.845,0.150,0.010
4,68633,0.905,0.100,0.010
99,68633,0.990,0.010,0.010
2,68638,0.618,0.150,0.010
3,68638,0.663,0.150,0.010
4,68638,0.674,0.110,0.010
99,68638,0.990,0.010,0.010
2,68641,0.819,0.150,0.010
99,68641,0.990,0.010,0.010
2,68642,0.835,0.150,0.010
99,68642,0.990,0.010,0.010
2,68648,0.611,0.150,0.010
99,68648,0.990,0.010,0.010
2,68650,0.618,0.238,0.010
3,68650,0.638,0.150,0.010
4,68650,0.548,0.100,0.010
99,68650,0.990,0.010,0.010
2,68661,0.719,0.150,0.010
3,68661,0.716,0.150,0.010
4,68661,0.706,0.100,0.010
2,68665,1.000,0.150,0.010
99,68665,0.990,0.010,0.010
2,68666,0.784,0.150,0.010
3,68666,0.747,0.238,0.010
4,68666,0.779,0.270,0.010
99,68666,0.990,0.010,0.010
2,68667,0.631,0.150,0.010
99,68667,0.990,0.010,0.010
2,68675,0.827,0.198,0.010
3,68675,0.841,0.150,0.010
4,68675,0.940,0.134,0.010
99,68675,0.990,0.010,0.010
2,68679,0.945,0.150,0.010
3,68679,0.962,0.150,0.010
4,68679,0.995,0.100,0.010
2,68680,0.818,0.150,0.010
3,68680,0.842,0.150,0.010
4,68680,0.842,0.100,0.010
99,68680,0.990,0.010,0.010
2,68683,0.792,0.154,0.010
3,68683,0.775,0.150,0.010
4,68683,0.775,0.100,0.010
99,68683,0.990,0.010,0.010
2,68685,0.708,0.150,0.010
3,68685,0.576,0.150,0.010
4,68685,0.591,0.100,0.010
99,68685,0.990,0.010,0.010
2,68686,0.761,0.150,0.010
99,68686,0.990,0.010,0.010
2,68688,0.825,0.150,0.010
99,68688,0.990,0.010,0.010
2,68695,0.692,0.150,0.010
3,68695,0.689,0.150,0.010
4,68695,0.822,0.100,0.010
2,68696,0.597,0.150,0.010
3,68696,0.603,0.150,0.010
4,68696,0.747,0.100,0.010
2,68708,0.833,0.150,0.010
3,68708,0.846,0.150,0.010
4,68708,0.905,0.100,0.010
99,68708,0.990,0.010,0.010
2,68710,0.662,0.158,0.010
3,68710,0.681,0.150,0.010
4,68710,0.687,0.176,0.010
99,68710,0.990,0.010,0.010
2,68714,0.786,0.150,0.010
99,68714,0.990,0.010,0.010
2,68719,0.940,0.150,0.010
99,68719,0.990,0.010,0.010
2,68720,0.999,0.150,0.010
2,68721,0.508,0.150,0.010
3,68721,0.442,0.150,0.010
4,68721,0.531,0.100,0.010
99,68721,0.990,0.010,0.010
2,68727,0.857,0.150,0.010
3,68727,0.906,0.150,0.010
4,68727,0.976,0.100,0.010
99,68727,0.990,0.010,0.010
2,68732,0.780,0.150,0.010
99,68732,0.990,0.010,0.010
2,68742,0.616,0.150,0.010
3,68742,0.627,0.150,0.010
4,68742,0.741,0.100,0.010
2,68748,0.886,0.150,0.010
3,68748,0.896,0.150,0.010
4,68748,0.914,0.100,0.010
2,68752,0.877,0.368,0.010
3,68752,0.905,0.353,0.010
4,68752,0.971,0.195,0.010
99,68752,0.990,0.010,0.010
2,68760,0.836,0.198,0.010
3,68760,0.838,0.150,0.010
4,68760,0.859,0.100,0.010
99,68760,0.990,0.010,0.010
2,68761,0.510,0.150,0.010
3,68761,0.559,0.150,0.010
4,68761,0.731,0.100,0.010
99,68761,0.990,0.010,0.010
2,68763,0.554,0.405,0.010
99,68763,0.990,0.010,0.010
2,68766,0.829,0.421,0.010
3,68766,0.857,0.178,0.010
4,68766,0.905,0.100,0.010
99,68766,0.990,0.010,0.010
2,68773,0.767,0.150,0.010
3,68773,0.764,0.150,0.010
4,68773,0.895,0.100,0.010
99,68773,0.990,0.010,0.010
2,68782,0.914,0.150,0.010
2,68783,0.935,0.150,0.010
3,68783,0.948,0.150,0.010
4,68783,0.952,0.100,0.010
99,68783,0.990,0.010,0.010
2,68790,0.760,0.174,0.010
3,68790,0.790,0.150,0.010
4,68790,0.933,0.100,0.010
99,68790,0.990,0.010,0.010
2,68793,0.588,0.150,0.010
3,68793,0.597,0.150,0.010
4,68793,0.692,0.100,0.010
2,68798,0.793,0.150,0.010
99,68798,0.990,0.010,0.010
2,68802,0.873,0.150,0.010
99,68802,0.990,0.010,0.010
2,68810,0.652,0.164,0.010
99,68810,0.990,0.010,0.010
2,68811,0.764,0.150,0.010
3,68811,0.887,0.150,0.010
4,68811,0.968,0.120,0.010
99,68811,0.990,0.010,0.010
2,68816,0.909,0.150,0.010
3,68816,0.923,0.150,0.010
4,68816,0.923,0.128,0.010
99,68816,0.990,0.010,0.010
2,68817,0.956,0.407,0.010
3,68817,0.955,0.360,0.010
4,68817,0.962,0.234,0.010
99,68817,0.990,0.010,0.010
2,68822,0.861,0.150,0.010
3,68822,0.891,0.150,0.010
4,68822,0.891,0.100,0.010
99,68822,0.990,0.010,0.010
2,68823,0.828,0.150,0.010
3,68823,0.876,0.150,0.010
4,68823,0.954,0.100,0.010
99,68823,0.990,0.010,0.010
2,68825,0.810,0.239,0.010
3,68825,0.833,0.237,0.010
4,68825,0.870,0.228,0.010
99,68825,0.990,0.010,0.010
2,68831,0.767,0.150,0.010
3,68831,0.802,0.150,0.010
4,68831,0.802,0.100,0.010
99,68831,0.990,0.010,0.010
2,68839,0.843,0.150,0.010
99,68839,0.990,0.010,0.010
2,68840,0.690,0.150,0.010
3,68840,0.699,0.150,0.010
4,68840,0.852,0.100,0.010
99,68840,0.990,0.010,0.010
2,68841,0.826,0.150,0.010
2,68842,0.955,0.150,0.010
3,68842,0.957,0.150,0.010
4,68842,0.957,0.100,0.010
99,68842,0.990,0.010,0.010
2,68843,0.912,0.150,0.010
99,68843,0.990,0.010,0.010
2,68846,0.827,0.150,0.010
3,68846,0.845,0.150,0.010
4,68846,0.884,0.100,0.010
99,68846,0.990,0.010,0.010
2,68847,0.808,0.150,0.010
99,68847,0.990,0.010,0.010
2,68848,0.769,0.178,0.010
3,68848,0.781,0.175,0.010
4,68848,0.819,0.119,0.010
99,68848,0.990,0.010,0.010
2,68853,0.849,0.150,0.010
3,68853,0.851,0.150,0.010
4,68853,0.800,0.100,0.010
2,68858,0.693,0.150,0.010
3,68858,0.696,0.150,0.010
4,68858,0.777,0.100,0.010
2,68866,0.870,0.150,0.010
3,68866,0.900,0.150,0.010
4,68866,0.957,0.100,0.010
99,68866,0.990,0.010,0.010
2,68869,0.810,0.368,0.010
99,68869,0.990,0.010,0.010
2,68873,0.842,0.150,0.010
99,68873,0.990,0.010,0.010
2,68882,0.840,0.150,0.010
3,68882,0.871,0.150,0.010
4,68882,0.926,0.100,0.010
99,68882,0.990,0.010,0.010
2,68884,0.792,0.196,0.010
3,68884,0.838,0.232,0.010
4,68884,0.983,0.261,0.010
99,68884,0.990,0.010,0.010
2,68887,0.807,0.150,0.010
3,68887,0.845,0.150,0.010
4,68887,0.886,0.100,0.010
99,68887,0.990,0.010,0.010
2,68888,0.822,0.150,0.010
3,68888,0.822,0.150,0.010
99,68888,0.990,0.010,0.010
2,68891,0.968,0.150,0.010
3,68891,0.979,0.150,0.010
4,68891,0.841,0.100,0.010
2,68893,0.497,0.150,0.010
3,68893,0.521,0.150,0.010
4,68893,0.496,0.112,0.010
99,68893,0.990,0.010,0.010
2,68895,0.670,0.150,0.010
3,68895,0.727,0.150,0.010
4,68895,0.671,0.100,0.010
99,68895,0.990,0.010,0.010
2,68897,0.980,0.150,0.010
99,68897,0.990,0.010,0.010
2,68910,0.781,0.150,0.010
3,68910,0.805,0.150,0.010
4,68910,0.805,0.105,0.010
99,68910,0.990,0.010,0.010
2,68913,0.769,0.290,0.010
3,68913,0.822,0.309,0.010
4,68913,0.829,0.316,0.010
99,68913,0.990,0.010,0.010
2,68922,0.657,0.150,0.010
3,68922,0.674,0.150,0.010
4,68922,0.816,0.100,0.010
99,68922,0.990,0.010,0.010
2,68925,0.833,0.150,0.010
99,68925,0.990,0.010,0.010
2,68929,0.637,0.248,0.010
3,68929,0.656,0.258,0.010
4,68929,0.744,0.100,0.010
99,68929,0.990,0.010,0.010
2,68942,0.840,0.150,0.010
3,68942,0.854,0.150,0.010
4,68942,0.854,0.100,0.010
99,68942,0.990,0.010,0.010
2,68943,0.636,0.150,0.010
3,68943,0.647,0.150,0.010
4,68943,0.687,0.100,0.010
99,68943,0.990,0.010,0.010
2,68946,0.622,0.150,0.010
3,68946,0.722,0.150,0.010
4,68946,0.945,0.100,0.010
99,68946,0.990,0.010,0.010
2,68952,0.768,0.150,0.010
3,68952,0.651,0.150,0.010
4,68952,0.922,0.100,0.010
99,68952,0.990,0.010,0.010
2,68956,0.678,0.150,0.010
3,68956,0.647,0.150,0.010
4,68956,0.718,0.100,0.010
99,68956,0.990,0.010,0.010
2,68960,0.717,0.150,0.010
3,68960,0.613,0.150,0.010
4,68960,0.612,0.100,0.010
99,68960,0.990,0.010,0.010
2,68961,0.366,0.150,0.010
3,68961,0.395,0.150,0.010
4,68961,0.441,0.100,0.010
99,68961,0.990,0.010,0.010
2,68965,0.781,0.150,0.010
3,68965,0.801,0.150,0.010
4,68965,0.801,0.100,0.010
99,68965,0.990,0.010,0.010
2,68987,0.799,0.193,0.010
99,68987,0.990,0.010,0.010
2,68993,0.902,0.150,0.010
3,68993,0.922,0.150,0.010
4,68993,0.922,0.100,0.010
99,68993,0.990,0.010,0.010
2,68999,0.828,0.150,0.010
3,68999,0.830,0.150,0.010
4,68999,0.857,0.100,0.010
99,68999,0.990,0.010,0.010
2,69000,0.798,0.150,0.010
99,69000,0.990,0.010,0.010
2,69003,0.585,0.150,0.010
3,69003,0.593,0.150,0.010
4,69003,0.723,0.110,0.010
99,69003,0.990,0.010,0.010
2,69004,0.758,0.150,0.010
3,69004,0.760,0.150,0.010
4,69004,0.826,0.100,0.010
2,69008,0.568,0.150,0.010
3,69008,0.683,0.150,0.010
4,69008,0.953,0.100,0.010
99,69008,0.990,0.010,0.010
2,69011,0.920,0.150,0.010
3,69011,0.939,0.150,0.010
4,69011,0.939,0.100,0.010
99,69011,0.990,0.010,0.010
2,69019,0.774,0.150,0.010
99,69019,0.990,0.010,0.010
2,69026,0.867,0.150,0.010
99,69026,0.990,0.010,0.010
2,69032,0.839,0.150,0.010
99,69032,0.990,0.010,0.010
2,69041,0.713,0.150,0.010
3,69041,0.734,0.150,0.010
4,69041,0.765,0.100,0.010
99,69041,0.990,0.010,0.010
2,69044,0.740,0.150,0.010
3,69044,0.803,0.150,0.010
4,69044,0.803,0.100,0.010
99,69044,0.990,0.010,0.010
2,69045,0.521,0.150,0.010
3,69045,0.562,0.150,0.010
4,69045,0.724,0.100,0.010
99,69045,0.990,0.010,0.010
2,69048,0.997,0.150,0.010
3,69048,0.998,0.150,0.010
4,69048,0.998,0.100,0.010
99,69048,0.990,0.010,0.010
2,69052,0.829,0.514,0.010
3,69052,0.908,0.233,0.010
4,69052,0.921,0.226,0.010
99,69052,0.990,0.010,0.010
2,69063,0.732,0.150,0.010
99,69063,0.990,0.010,0.010
2,69071,0.730,0.500,0.010
3,69071,0.733,0.473,0.010
4,69071,0.748,0.660,0.010
99,69071,0.990,0.010,0.010
2,69076,0.631,0.150,0.010
99,69076,0.990,0.010,0.010
2,69077,0.754,0.150,0.010
99,69077,0.990,0.010,0.010
2,69078,0.885,0.150,0.010
99,69078,0.990,0.010,0.010
2,69087,0.866,0.150,0.010
99,69087,0.990,0.010,0.010
2,69088,0.842,0.286,0.010
3,69088,0.584,0.150,0.010
4,69088,0.673,0.100,0.010
99,69088,0.990,0.010,0.010
2,69098,0.785,0.150,0.010
3,69098,0.811,0.150,0.010
4,69098,0.839,0.100,0.010
99,69098,0.990,0.010,0.010
2,69099,0.705,0.150,0.010
3,69099,0.756,0.150,0.010
4,69099,0.897,0.100,0.010
99,69099,0.990,0.010,0.010
2,69100,0.812,0.150,0.010
99,69100,0.990,0.010,0.010
2,69103,0.676,0.150,0.010
99,69103,0.990,0.010,0.010
2,69104,0.686,0.350,0.010
3,69104,0.420,0.150,0.010
4,69104,0.740,0.100,0.010
99,69104,0.990,0.010,0.010
2,69110,0.618,0.150,0.010
3,69110,0.639,0.150,0.010
4,69110,0.700,0.100,0.010
99,69110,0.990,0.010,0.010
2,69116,0.770,0.150,0.010
3,69116,0.801,0.150,0.010
4,69116,0.843,0.100,0.010
99,69116,0.990,0.010,0.010
2,69120,0.768,0.150,0.010
99,69120,0.990,0.010,0.010
2,69126,0.817,0.150,0.010
99,69126,0.990,0.010,0.010
2,69129,0.767,0.150,0.010
3,69129,0.805,0.150,0.010
4,69129,0.805,0.100,0.010
99,69129,0.990,0.010,0.010
2,69134,0.804,0.179,0.010
3,69134,0.716,0.150,0.010
4,69134,0.908,0.100,0.010
99,69134,0.990,0.010,0.010
2,69143,0.798,0.150,0.010
2,69145,0.920,0.150,0.010
3,69145,0.932,0.150,0.010
4,69145,0.954,0.100,0.010
99,69145,0.990,0.010,0.010
2,69149,0.958,0.150,0.010
99,69149,0.990,0.010,0.010
2,69153,0.665,0.150,0.010
3,69153,0.719,0.150,0.010
4,69153,0.719,0.100,0.010
99,69153,0.990,0.010,0.010
2,69163,0.615,0.150,0.010
3,69163,0.536,0.150,0.010
4,69163,0.561,0.139,0.010
99,69163,0.990,0.010,0.010
2,69165,0.785,0.207,0.010
3,69165,0.835,0.150,0.010
4,69165,0.885,0.100,0.010
99,69165,0.990,0.010,0.010
2,69169,0.991,0.150,0.010
99,69169,0.990,0.010,0.010
2,69171,0.705,0.150,0.010
3,69171,0.654,0.150,0.010
4,69171,0.731,0.116,0.010
99,69171,0.990,0.010,0.010
2,69173,0.800,0.150,0.010
3,69173,0.811,0.150,0.010
4,69173,0.924,0.100,0.010
99,69173,0.990,0.010,0.010
2,69181,0.564,0.150,0.010
3,69181,0.607,0.150,0.010
4,69181,0.759,0.100,0.010
99,69181,0.990,0.010,0.010
2,69182,0.778,0.150,0.010
99,69182,0.990,0.010,0.010
2,69195,0.816,0.150,0.010
99,69195,0.990,0.010,0.010
2,69199,0.555,0.150,0.010
3,69199,0.624,0.150,0.010
4,69199,0.762,0.100,0.010
99,69199,0.990,0.010,0.010
2,69208,0.500,0.150,0.010
3,69208,0.508,0.150,0.010
4,69208,0.633,0.100,0.010
2,69209,0.536,0.150,0.010
3,69209,0.543,0.150,0.010
4,69209,0.934,0.100,0.010
2,69210,0.813,0.150,0.010
99,69210,0.990,0.010,0.010
2,69215,0.644,0.150,0.010
3,69215,0.620,0.150,0.010
4,69215,0.773,0.100,0.010
99,69215,0.990,0.010,0.010
2,69218,0.389,0.150,0.010
3,69218,0.370,0.150,0.010
4,69218,0.409,0.100,0.010
99,69218,0.990,0.010,0.010
2,69220,0.808,0.757,0.010
3,69220,0.875,0.823,0.010
4,69220,0.861,0.809,0.010
99,69220,0.990,0.010,0.010
2,69223,0.656,0.150,0.010
3,69223,0.662,0.150,0.010
4,69223,0.769,0.100,0.010
2,69233,0.726,0.150,0.010
3,69233,0.738,0.150,0.010
4,69233,0.748,0.100,0.010
99,69233,0.990,0.010,0.010
2,69237,0.835,0.262,0.010
3,69237,0.844,0.222,0.010
4,69237,0.836,0.214,0.010
99,69237,0.990,0.010,0.010
2,69238,0.835,0.193,0.010
3,69238,0.846,0.167,0.010
4,69238,0.883,0.153,0.010
99,69238,0.990,0.010,0.010
2,69239,0.822,0.273,0.010
3,69239,0.844,0.309,0.010
4,69239,0.811,0.376,0.010
99,69239,0.990,0.010,0.010
2,69241,0.778,0.487,0.010
3,69241,0.831,0.197,0.010
4,69241,0.892,0.100,0.010
99,69241,0.990,0.010,0.010
2,69243,0.769,0.335,0.010
3,69243,0.790,0.350,0.010
4,69243,0.865,0.447,0.010
99,69243,0.990,0.010,0.010
2,69244,0.591,0.150,0.010
3,69244,0.694,0.150,0.010
4,69244,0.768,0.100,0.010
99,69244,0.990,0.010,0.010
2,69247,0.753,0.150,0.010
99,69247,0.990,0.010,0.010
2,69248,0.732,0.150,0.010
3,69248,0.698,0.150,0.010
4,69248,0.563,0.100,0.010
99,69248,0.990,0.010,0.010
2,69251,0.746,0.164,0.010
3,69251,0.660,0.150,0.010
4,69251,0.755,0.100,0.010
99,69251,0.990,0.010,0.010
2,69252,0.852,0.150,0.010
3,69252,0.891,0.150,0.010
4,69252,0.862,0.100,0.010
2,69254,0.863,0.150,0.010
3,69254,0.856,0.150,0.010
4,69254,0.852,0.100,0.010
2,69263,0.829,0.150,0.010
3,69263,0.827,0.150,0.010
4,69263,0.798,0.100,0.010
2,69280,0.709,0.160,0.010
3,69280,0.734,0.150,0.010
4,69280,0.819,0.102,0.010
99,69280,0.990,0.010,0.010
2,69285,0.705,0.150,0.010
3,69285,0.649,0.150,0.010
4,69285,0.786,0.100,0.010
99,69285,0.990,0.010,0.010
2,69289,0.611,0.150,0.010
3,69289,0.609,0.150,0.010
4,69289,0.797,0.100,0.010
2,69297,0.670,0.257,0.010
3,69297,0.857,0.150,0.010
4,69297,0.875,0.100,0.010
99,69297,0.990,0.010,0.010
2,69309,0.822,0.150,0.010
3,69309,0.839,0.150,0.010
4,69309,0.839,0.100,0.010
99,69309,0.990,0.010,0.010
2,69311,0.755,0.150,0.010
3,69311,0.680,0.150,0.010
4,69311,0.799,0.100,0.010
99,69311,0.990,0.010,0.010
2,69312,0.487,0.150,0.010
3,69312,0.487,0.150,0.010
99,69312,0.990,0.010,0.010
2,69318,0.784,0.336,0.010
3,69318,0.805,0.338,0.010
4,69318,0.891,0.132,0.010
99,69318,0.990,0.010,0.010
2,69325,0.753,0.150,0.010
99,69325,0.990,0.010,0.010
2,69328,0.910,0.150,0.010
3,69328,0.909,0.150,0.010
4,69328,0.888,0.100,0.010
2,69331,0.760,0.150,0.010
3,69331,0.798,0.150,0.010
4,69331,0.798,0.100,0.010
99,69331,0.990,0.010,0.010
2,69332,0.576,0.150,0.010
3,69332,0.595,0.150,0.010
4,69332,0.703,0.100,0.010
99,69332,0.990,0.010,0.010
2,69334,0.787,0.226,0.010
3,69334,0.793,0.224,0.010
4,69334,0.880,0.199,0.010
2,69338,0.887,0.150,0.010
3,69338,0.940,0.150,0.010
4,69338,0.940,0.100,0.010
99,69338,0.990,0.010,0.010
2,69350,0.816,0.150,0.010
3,69350,0.850,0.150,0.010
4,69350,0.850,0.100,0.010
99,69350,0.990,0.010,0.010
2,69351,0.796,0.150,0.010
99,69351,0.990,0.010,0.010
2,69362,0.902,0.150,0.010
3,69362,0.935,0.150,0.010
4,69362,0.954,0.144,0.010
99,69362,0.990,0.010,0.010
2,69365,0.758,0.150,0.010
3,69365,0.779,0.150,0.010
99,69365,0.990,0.010,0.010
2,69371,0.836,0.150,0.010
3,69371,0.829,0.150,0.010
4,69371,0.864,0.100,0.010
99,69371,0.990,0.010,0.010
2,69372,0.936,0.212,0.010
3,69372,0.960,0.181,0.010
4,69372,0.992,0.100,0.010
99,69372,0.990,0.010,0.010
2,69376,0.699,0.150,0.010
99,69376,0.990,0.010,0.010
2,69383,0.433,0.150,0.010
99,69383,0.990,0.010,0.010
2,69384,0.797,0.150,0.010
3,69384,0.826,0.150,0.010
4,69384,0.996,0.100,0.010
99,69384,0.990,0.010,0.010
2,69392,0.813,0.150,0.010
3,69392,0.833,0.150,0.010
4,69392,0.961,0.100,0.010
99,69392,0.990,0.010,0.010
2,69393,0.724,0.323,0.010
3,69393,0.847,0.371,0.010
4,69393,0.910,0.204,0.010
99,69393,0.990,0.010,0.010
2,69402,0.785,0.620,0.010
3,69402,0.811,0.529,0.010
4,69402,0.905,0.157,0.010
99,69402,0.990,0.010,0.010
2,69407,0.719,0.150,0.010
3,69407,0.744,0.150,0.010
4,69407,0.744,0.100,0.010
99,69407,0.990,0.010,0.010
2,69411,0.757,0.272,0.010
3,69411,0.719,0.367,0.010
4,69411,0.748,0.376,0.010
99,69411,0.990,0.010,0.010
2,69420,0.644,0.150,0.010
2,69422,0.820,0.187,0.010
3,69422,0.844,0.150,0.010
4,69422,0.932,0.237,0.010
99,69422,0.990,0.010,0.010
2,69434,0.871,0.150,0.010
3,69434,0.861,0.150,0.010
4,69434,0.880,0.100,0.010
99,69434,0.990,0.010,0.010
2,69436,0.562,0.150,0.010
3,69436,0.627,0.150,0.010
4,69436,0.909,0.100,0.010
99,69436,0.990,0.010,0.010
2,69441,0.827,0.150,0.010
99,69441,0.990,0.010,0.010
2,69445,0.836,0.150,0.010
3,69445,0.857,0.150,0.010
4,69445,0.928,0.100,0.010
2,69447,0.833,0.150,0.010
3,69447,0.819,0.150,0.010
4,69447,0.925,0.100,0.010
2,69449,0.992,0.150,0.010
99,69449,0.990,0.010,0.010
2,69453,0.704,0.150,0.010
3,69453,0.769,0.150,0.010
4,69453,0.833,0.100,0.010
99,69453,0.990,0.010,0.010
2,69454,0.607,0.150,0.010
3,69454,0.627,0.150,0.010
4,69454,0.771,0.127,0.010
99,69454,0.990,0.010,0.010
2,69460,0.797,0.150,0.010
3,69460,0.822,0.150,0.010
4,69460,0.951,0.100,0.010
99,69460,0.990,0.010,0.010
2,69462,0.546,0.150,0.010
3,69462,0.536,0.150,0.010
4,69462,0.720,0.102,0.010
99,69462,0.990,0.010,0.010
2,69463,0.926,0.150,0.010
3,69463,0.941,0.150,0.010
4,69463,0.918,0.100,0.010
99,69463,0.990,0.010,0.010
2,69469,0.730,0.150,0.010
3,69469,0.644,0.150,0.010
4,69469,0.781,0.100,0.010
99,69469,0.990,0.010,0.010
2,69487,0.668,0.150,0.010
2,69490,0.915,0.150,0.010
3,69490,0.914,0.150,0.010
4,69490,0.918,0.100,0.010
2,69502,0.867,0.150,0.010
2,69503,0.715,0.150,0.010
3,69503,0.602,0.150,0.010
4,69503,0.787,0.100,0.010
2,69507,0.579,0.150,0.010
3,69507,0.590,0.150,0.010
4,69507,0.664,0.100,0.010
2,69509,0.776,0.150,0.010
3,69509,0.751,0.150,0.010
4,69509,0.838,0.100,0.010
99,69509,0.990,0.010,0.010
2,69512,0.679,0.297,0.010
3,69512,0.710,0.302,0.010
4,69512,0.541,0.334,0.010
99,69512,0.990,0.010,0.010
2,69513,0.782,0.150,0.010
3,69513,0.890,0.150,0.010
4,69513,0.890,0.100,0.010
99,69513,0.990,0.010,0.010
2,69514,0.817,0.175,0.010
3,69514,0.828,0.167,0.010
4,69514,0.851,0.101,0.010
99,69514,0.990,0.010,0.010
2,69517,0.779,0.150,0.010
3,69517,0.837,0.150,0.010
4,69517,0.918,0.100,0.010
99,69517,0.990,0.010,0.010
2,69541,0.817,0.191,0.010
3,69541,0.683,0.150,0.010
4,69541,0.903,0.114,0.010
99,69541,0.990,0.010,0.010
2,69550,0.742,0.150,0.010
3,69550,0.742,0.150,0.010
4,69550,0.814,0.100,0.010
99,69550,0.990,0.010,0.010
2,69553,0.612,0.155,0.010
99,69553,0.990,0.010,0.010
2,69560,0.796,0.150,0.010
3,69560,0.770,0.150,0.010
4,69560,0.670,0.100,0.010
99,69560,0.990,0.010,0.010
2,69565,0.807,0.359,0.010
3,69565,0.853,0.267,0.010
4,69565,0.883,0.273,0.010
99,69565,0.990,0.010,0.010
2,69569,0.599,0.150,0.010
99,69569,0.990,0.010,0.010
2,69572,0.785,0.150,0.010
2,69587,0.854,0.150,0.010
3,69587,0.885,0.150,0.010
4,69587,1.000,0.100,0.010
99,69587,0.990,0.010,0.010
2,69604,0.907,0.172,0.010
99,69604,0.990,0.010,0.010
2,69613,0.455,0.150,0.010
3,69613,0.455,0.150,0.010
99,69613,0.990,0.010,0.010
2,69615,0.831,0.150,0.010
99,69615,0.990,0.010,0.010
2,69616,0.770,0.150,0.010
99,69616,0.990,0.010,0.010
2,69626,0.809,0.150,0.010
99,69626,0.990,0.010,0.010
2,69645,0.817,0.280,0.010
3,69645,0.818,0.260,0.010
4,69645,0.808,0.496,0.010
99,69645,0.990,0.010,0.010
2,69648,0.633,0.150,0.010
3,69648,0.849,0.150,0.010
4,69648,0.856,0.142,0.010
